High school GPA,Extracurricular Activities,Parental Income ,Study Hours/Week,Entrance Test Score,Distance (km),Internet (Yes/No),Final Year Result
3.8,3,45000,10,88,5,Yes  ,Pass  
2.9,1,72000,15,28,12,No  ,Fail  
3.5,2,36000,8,80,7,Yes  ,Pass  
4,5,95000,20,87,3,Yes  ,Pass  
3.2,4,82000,2,1,10,No  ,Fail  
3,2,51000,8,78,4,Yes  ,Pass  
2.7,2,30000,10,76,8,Yes  ,Pass  
3.9,3,67000,18,89,6,Yes  ,pass
3.3,1,42000,9,76,14,Yes  ,Pass  
2.5,2,58000,11,39,9,No  ,Fail  
3.6,4,99000,,89,4,Yes  ,Pass  
3.1,3,61000,5,80,8,Yes  ,Pass  
,1,39000,7,30,4,Yes  ,Fail  
3.7,2,76000,17,85,,Yes  ,pass
3.4,5,84000,19,90,17,,Pass  
2.6,0,28000,5,48,16,No  ,Fail  
3.1,3,45000,19,40,18,Yes  ,Fail  
3.8,2,69000,9,42,22,Yes  ,Fail  
2.9,1,47000,8,80,19,No  ,pass
3.2,4,88000,,79,21,Yes  ,Pass  
4,3,75000,12,35,7,No  ,Fail  
2.7,0,31000,6,70,9,Yes  ,Pass  
3.3,2,60000,13,84,12,Yes  ,Pass  
3.1,5,93000,20,,8,No  ,Fail  
3.9,1,41000,9,24,10,Yes  ,Fail  
2.6,4,85000,18,79,6,No  ,Pass  
3.5,3,57000,11,34,5,Yes  ,Fail  
2.8,2,64000,16,23,13,Yes  ,Fail  
3.4,1,49000,7,100,11,No  ,Pass  
3.7,0,32000,5,42,18,No  ,Fail  
